# E0a donor projection backend — measured

git_sha: b964690
gpu: RTX 5090 index 1 (CUDA_VISIBLE_DEVICES=1); GPU0 owned by user ninfer-serve
artifact: build/evidence/qwen38-payload-v1-final-a.sinf sha256 e25022c8592875449968b9d0b1f56e6800971e0ba04d8a43eec980fe60dc65d5
workload: chat-template 60 output tokens, 1 continuation step group

## Device kernel time per token (nsys, 60 tokens)
kernel,ms_per_token,before_ms_per_token
nvfp4_gemv_rows_f32<8,4,4,2>,17.39,82.87
linear_f32_rows_kernel<8,2>,0.79,18.51
rms_norm_f32_bf16_scale_parallel,5.26,5.23
causal_conv_silu_f32,3.80,3.68
gated_delta_attention_parallel_f32,3.25,3.25
silu_mul_f32,2.63,2.63
cast_bf16_to_f32,1.12,1.09
split_f32,0.94,-
residual_f32,0.75,-
cast_f32_to_bf16,0.53,-
rope_f32,0.41,-
split_last_f32,0.32,-
grouped_attention_bf16_cache_cached,0.32,-
sigmoid_mul_f32,0.20,-
gated_delta_parameters_f32,0.08,-
cache_append_f32_bf16,0.04,-
embedding_bf16,0.01,-
TOTAL_DEVICE_SUM,36.96,123.61

correctness: 60/60 continuation tokens identical to P7 baseline (chat-template)
fallbacks: kernel 13 (P7 warp/row-vec) retained for any shape failing the donor contract
